#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2017-01-31T21:47:21 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ589104a83d36	
#INFO	-out.max=unlimited	
#INFO	queryParameters=24	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-order=I
#-out.src=J/AJ/137/4186/stars
#-nav=cat:J/AJ/137/4186&tab:{J/AJ/137/4186/stars}&key:source=J/AJ/137/4186&HTTPPRM:&&-ref=VIZ589104a83d36&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=Name&-out=Vmag&-out=B-V&-out=U-B&-out=V-R&-out=R-I&-out=V-I&-out=RAJ2000&-out=DEJ2000&-out=pmRA&-out=pmDE&-out=SimbadName&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/AJ/137/4186/stars
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/137/4186/stars
#-order=I
#-out=Name
#-out=Vmag
#-out=B-V
#-out=U-B
#-out=V-R
#-out=R-I
#-out=V-I
#-out=RAJ2000
#-out=DEJ2000
#-out=pmRA
#-out=pmDE
#-out=SimbadName
#

#RESOURCE=yCat_51374186
#Name: J/AJ/137/4186
#Title: UBVRI standards around celestial equator (Landolt, 2009)
#Table	J_AJ_137_4186_stars:
#Name: J/AJ/137/4186/stars
#Title: UBVRI photometry, accurate coordinates and proper motions of standard stars {\em(tables 2 and 5 of the paper)}
#Column	Name	(a11)	Star name	[ucd=meta.id;meta.main]
#Column	Vmag	(F6.3)	The Johnson V band magnitude	[ucd=phot.mag;em.opt.V]
#Column	e_Vmag	(F7.4)	? Mean error of the mean of Vmag	[ucd=stat.error;phot.mag;em.opt.V]
#Column	B-V	(F6.3)	The Johnson (B-V) color index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	e_B-V	(F7.4)	? Mean error of the mean of B-V	[ucd=stat.error;phot.color;em.opt.B]
#Column	U-B	(F6.3)	The Johnson (U-B) color index	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	e_U-B	(F7.4)	? Mean error of the mean of U-B	[ucd=stat.error;phot.color;em.opt.U]
#Column	V-R	(F6.3)	The Johnson-Cousins (V-R) color index	[ucd=phot.color;em.opt.V;em.opt.R]
#Column	e_V-R	(F7.4)	? Mean error of the mean of V-R	[ucd=stat.error;phot.color;em.opt.V]
#Column	R-I	(F6.3)	The Cousins (R-I) color index	[ucd=phot.color;em.opt.R;em.opt.I]
#Column	e_R-I	(F7.4)	? Mean error of the mean of R-I	[ucd=stat.error;phot.color;em.opt.R]
#Column	V-I	(F6.3)	The Johnson-Cousins (V-I) color index	[ucd=phot.color;em.opt.V;em.opt.I]
#Column	e_V-I	(F7.4)	? Mean error of the mean of V-I	[ucd=stat.error;phot.color;em.opt.V]
#Column	Nobs	(I3)	Number of times star was observed	[ucd=meta.number]
#Column	Nnig	(I3)	Number of nights star was observed	[ucd=meta.number]
#Column	RAJ2000	(A12)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	UCAC2	(A8)	The UCAC2 identifier, Cat. I/289	[ucd=meta.id]
#Column	2MASS-PSC	(A17)	The 2MASS-PSC identifier, Cat. II/246	[ucd=meta.id]
#Column	pmRA	(F8.2)	Proper motion in Right Ascension	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(F8.2)	Proper motion in Declination	[ucd=pos.pm;pos.eq.dec]
#Column	Ref	(I1)	Proper motion reference (1)	[ucd=meta.ref;pos.pm;pos.frame]
#Column	SimbadName	(a20)	Designation understandable by the {\bf\fg{FireBrick}Simbad} data-base	[ucd=meta.id]
Name|Vmag|e_Vmag|B-V|e_B-V|U-B|e_U-B|V-R|e_V-R|R-I|e_R-I|V-I|e_V-I|Nobs|Nnig|RAJ2000|DEJ2000|UCAC2|2MASS-PSC|pmRA|pmDE|Ref|SimbadName
PG1407-013D|14.872| 0.0024| 0.891| 0.0026| 0.420| 0.0104| 0.496| 0.0020| 0.472| 0.0058| 0.967| 0.0063| 14|  9|14 10 34.083|-01 27 14.00|31341939|J14103409-0127140|  -12.00|    8.80|1|[L92b] PG 1407-013 D
PG1407-013E|15.182| 0.0036| 0.883| 0.0042| 0.600| 0.0144| 0.496| 0.0044| 0.417| 0.0068| 0.915| 0.0074|  9|  6|14 10 35.721|-01 26 31.42|31341940|J14103573-0126314|  -17.30|    5.00|1|[L92b] PG 1407-013 E
106 1024   |11.599| 0.0051| 0.332| 0.0022| 0.085| 0.0029| 0.196| 0.0019| 0.195| 0.0014| 0.390| 0.0029| 35| 27|14 40 06.997|+00 01 45.11|31874921|J14400699+0001451|    0.60|    0.80|1|SA 106-1024
106 700    | 9.786| 0.0008| 1.364| 0.0006| 1.580| 0.0014| 0.730| 0.0005| 0.643| 0.0006| 1.374| 0.0008| 88| 77|14 40 50.944|-00 23 36.82|31695154|J14405094-0023368|  -17.10|    3.80|1|SA 106-700
106 575    | 9.341| 0.0007| 1.306| 0.0007| 1.485| 0.0027| 0.676| 0.0005| 0.587| 0.0005| 1.268| 0.0006| 39| 30|14 41 38.499|-00 26 01.82|31695195|J14413849-0026018|  -30.90|   -7.80|1|SA 106-575
106 485    | 9.477| 0.0009| 0.378| 0.0007|-0.052| 0.0010| 0.233| 0.0004| 0.236| 0.0004| 0.468| 0.0006| 47| 36|14 44 14.083|-00 37 06.69|31516218|J14441408-0037067|   -6.30|   13.00|1|SA 106-485
PG1514+034 |13.997| 0.0078|-0.009| 0.0082|-0.955| 0.0102| 0.087| 0.0029| 0.126| 0.0065| 0.212| 0.0073|  6|  3|15 17 14.269|+03 10 27.92|32880871|J15171426+0310279|   -1.80|   -5.20|1|PG 1514+034
PG1525-071 |15.046| 0.0027|-0.211| 0.0005|-1.177| 0.0027|-0.068| 0.0020| 0.012| 0.0020|-0.151| 0.0071| 20| 13|15 28 11.570|-07 16 32.70|        |J15281157-0716327|    0.00|    0.00|2|PG 1525-071
PG1525-071D|16.300| 0.0021| 0.393| 0.0714| 0.224| 0.0316| 0.405| 0.0108| 0.343| 0.0196| 0.756| 0.0085| 15|  8|15 28 12.000|-07 16 39.10|        |J15281200-0716391|    0.00|    0.00|2|[L92b] PG 1525-071 D
PG1525-071A|13.506| 0.0008| 0.773| 0.0015| 0.282| 0.0019| 0.437| 0.0006| 0.421| 0.0024| 0.862| 0.0026| 15|  8|15 28 13.416|-07 16 01.03|29290012|J15281341-0716008|  -11.60|  -19.20|1|[L92b] PG 1525-071 A
PG1525-071B|16.392| 0.0039| 0.729| 0.0043| 0.141| 0.0097| 0.450| 0.0037| 0.387| 0.0066| 0.906| 0.0066| 17|  8|15 28 14.390|-07 16 13.20|        |J15281438-0716131|  -10.00|    4.00|2|[L92b] PG 1525-071 B
PG1525-071C|13.519| 0.0007| 1.116| 0.0028| 1.073| 0.0052| 0.593| 0.0010| 0.509| 0.0015| 1.096| 0.0012| 16|  9|15 28 16.502|-07 14 30.36|29290016|J15281649-0714301|  -13.70|  -10.90|1|[L92b] PG 1525-071 C
PG1528+062B|11.989|       | 0.593|       | 0.005|       | 0.364|       | 0.344|       | 0.711|       |  1|  1|15 30 39.542|+06 01 12.98|33944459|J15303955+0601129|  -15.50|    6.70|1|[L92b] PG 1528+062 B
PG1528+062A|15.553|       | 0.830|       | 0.356|       | 0.433|       | 0.389|       | 0.824|       |  1|  1|15 30 49.092|+06 01 24.09|33944469|J15304910+0601240|   -7.70|    1.80|1|[L92b] PG 1528+062 A
PG1528+062 |14.767|       |-0.252|       |-1.091|       |-0.111|       |-0.182|       |-0.296|       |  1|  1|15 30 49.930|+06 00 56.20|        |J15304993+0600561|    6.00|  -16.00|2|PG 1528+062
PG1528+062C|13.477|       | 0.644|       | 0.074|       | 0.357|       | 0.340|       | 0.699|       |  1|  1|15 30 55.616|+06 00 09.59|33944476|J15305562+0600095|  -14.50|    6.30|1|[L92b] PG 1528+062 C
PG1530+057A|13.711|       | 0.829|       | 0.414|       | 0.473|       | 0.412|       | 0.886|       |  1|  1|15 33 10.224|+05 33 42.93|33766085|J15331022+0533429|   -3.90|   -0.10|1|[L92b] PG 1530+057 A
PG1530+057 |14.211|       | 0.151|       |-0.789|       | 0.162|       | 0.036|       | 0.199|       |  1|  1|15 33 10.737|+05 32 26.88|33766087|J15331073+0532268|  -25.90|   -4.40|1|PG 1530+057
PG1530+057B|12.842|       | 0.745|       | 0.325|       | 0.423|       | 0.376|       | 0.799|       |  1|  1|15 33 17.446|+05 33 46.29|33766098|J15331744+0533463|   -3.90|   -7.20|1|[L92b] PG 1530+057 B
107 544    | 9.036| 0.0010| 0.399| 0.0006| 0.156| 0.0011| 0.232| 0.0006| 0.227| 0.0006| 0.458| 0.0008| 54| 39|15 36 48.097|-00 15 07.07|31698581|J15364809-0015070|    0.00|   26.00|1|SA 107-544
107 970    |10.939| 0.0074| 1.596| 0.0017| 1.750| 0.0061| 1.142| 0.0020| 1.435| 0.0033| 2.574| 0.0040| 57| 47|15 37 25.830|+00 18 33.82|31878389|J15372582+0018339|   -6.10|   -2.40|1|SA 107-970
107 568    |13.054| 0.0015| 1.149| 0.0028| 0.862| 0.0039| 0.625| 0.0021| 0.595| 0.0028| 1.217| 0.0028| 15|  7|15 37 52.713|-00 17 17.51|31698655|J15375270-0017175|  -12.80|  -11.10|1|SA 107-568
107 1006   |11.713| 0.0006| 0.766| 0.0009| 0.278| 0.0018| 0.442| 0.0005| 0.420| 0.0007| 0.863| 0.0008| 81| 72|15 38 33.353|+00 14 19.11|31878471|J15383334+0014189|   20.80|  -24.70|1|SA 107-1006
107 347    | 9.446| 0.0011| 1.294| 0.0009| 1.302| 0.0015| 0.712| 0.0007| 0.652| 0.0007| 1.365| 0.0011| 33| 26|15 38 35.770|-00 35 57.69|31519434|J15383578-0035576|  -23.30|  -21.90|1|SA 107-347
107 720    |13.121| 0.0057| 0.599| 0.0028| 0.088| 0.0106| 0.374| 0.0099| 0.355| 0.0028| 0.731| 0.0078|  2|  1|15 38 36.978|-00 02 24.92|31698708|J15383698-0002249|  -13.80|  -12.50|1|SA 107-720
107 456    |12.919| 0.0020| 0.921| 0.0029| 0.589| 0.0045| 0.537| 0.0020| 0.478| 0.0025| 1.015| 0.0036| 20| 10|15 38 42.735|-00 19 47.02|31698718|J15384274-0019469|  -31.20|    8.70|1|SA 107-456
107 351    |12.342| 0.0020| 0.562| 0.0024|-0.005| 0.0040| 0.351| 0.0016| 0.358| 0.0022| 0.708| 0.0026| 25| 14|15 38 45.760|-00 32 06.30|31519446|J15384576-0032062|  -10.80|   -5.10|1|SA 107-351
107 457    |14.910| 0.0021| 0.792| 0.0035| 0.350| 0.0099| 0.494| 0.0028| 0.469| 0.0064| 0.964| 0.0092|  2|  1|15 38 46.763|-00 20 15.17|31698726|J15384676-0020150|   -3.00|   -2.10|1|SA 107-457
107 458    |11.676| 0.0042| 1.214| 0.0057| 1.189| 0.0049| 0.667| 0.0028| 0.602| 0.0007| 1.274| 0.0035|  2|  1|15 38 50.219|-00 24 26.45|31698731|J15385022-0024263|   -8.70|    4.00|1|SA 107-458
107 592    |11.847| 0.0033| 1.318| 0.0047| 1.380| 0.0133| 0.709| 0.0013| 0.647| 0.0023| 1.357| 0.0020|  9|  5|15 38 50.382|-00 17 09.17|31698732|J15385038-0017091|   -3.30|    0.40|1|SA 107-592
107 459    |12.284| 0.0014| 0.900| 0.0106| 0.427| 0.0099| 0.525| 0.0028| 0.517| 0.0007| 1.045| 0.0035|  2|  1|15 38 50.812|-00 22 33.77|31698733|J15385082-0022337|   -9.00|  -16.30|1|SA 107-459
107 212    |13.383| 0.0064| 0.683| 0.0106| 0.135| 0.0198| 0.404| 0.0071| 0.411| 0.0085| 0.818| 0.0148|  2|  1|15 38 56.067|-00 45 31.71|31519454|J15385605-0045316|   -1.40|  -16.10|1|SA 107-212
107 215    |16.046| 0.0266| 0.115| 0.0312|-0.082| 0.0092|-0.032| 0.0935|-0.475| 0.2991|-0.511| 0.3943|  3|  2|15 38 57.650|-00 43 06.59|31519456|J15385765-0043064|   -6.90|  -17.40|1|SA 107-215
107 213    |14.262|       | 0.802|       | 0.261|       | 0.531|       | 0.509|       | 1.038|       |  1|  1|15 38 57.671|-00 44 15.06|31519457|J15385766-0044149|   13.50|  -18.70|1|SA 107-213
107 357    |14.418|       | 0.675| 0.0035| 0.025| 0.0057| 0.416| 0.0120| 0.421| 0.0233| 0.840| 0.0113|  2|  1|15 39 05.469|-00 39 12.16|31519465|J15390546-0039120|  -14.00|   -1.30|1|SA 107-357
107 359    |12.797| 0.0049| 0.580| 0.0069|-0.124| 0.0118| 0.379| 0.0029| 0.381| 0.0033| 0.759| 0.0053|  6|  3|15 39 09.040|-00 35 38.60|        |J15390904-0035386|  -26.00|  -76.00|2|SA 107-359
107 599    |14.675| 0.0082| 0.698| 0.0121| 0.243| 0.0061| 0.433| 0.0053| 0.438| 0.0121| 0.869| 0.0155| 17|  7|15 39 09.457|-00 14 28.74|31698750|J15390944-0014288|   -9.20|   -7.50|1|SA 107-599
107 600    |14.884| 0.0170| 0.503| 0.0130| 0.049| 0.0227| 0.339| 0.0097| 0.361| 0.0147| 0.700| 0.0203|  9|  4|15 39 10.065|-00 15 51.15|31698752|J15391005-0015513|  -11.90|   -2.20|1|SA 107-600
107 601    |14.646| 0.0045| 1.412| 0.0073| 1.265| 0.0247| 0.923| 0.0035| 0.835| 0.0031| 1.761| 0.0038| 33| 13|15 39 13.880|-00 13 28.00|        |J15391388-0013279|    0.00|    0.00|2|SA 107-601
107 602    |12.116| 0.0027| 0.991| 0.0029| 0.585| 0.0070| 0.545| 0.0015| 0.531| 0.0022| 1.074| 0.0032| 17|  9|15 39 18.878|-00 15 29.94|31698756|J15391886-0015300|  -13.50|   -9.10|1|SA 107-602
107 611    |14.329| 0.0065| 0.890| 0.0085| 0.455| 0.0165| 0.520| 0.0090| 0.447| 0.0105| 0.968| 0.0170|  4|  2|15 39 35.077|-00 12 35.76|31698773|J15393507-0012357|  -11.00|   19.50|1|SA 107-611
107 612    |14.256| 0.0057| 0.896| 0.0014| 0.296| 0.0035| 0.551| 0.0035| 0.530| 0.0007| 1.081| 0.0021|  2|  1|15 39 35.427|-00 15 07.45|31698774|J15393542-0015074|   -9.80|    6.30|1|SA 107-612
107 614    |13.926| 0.0065| 0.622| 0.0170| 0.033| 0.0150| 0.361| 0.0040| 0.370| 0.0130| 0.732| 0.0090|  4|  2|15 39 41.132|-00 13 10.80|31698783|J15394112-0013107|   -5.90|  -10.20|1|SA 107-614
107 626    |13.468| 0.0045| 1.000| 0.0082| 0.728| 0.0118| 0.600| 0.0024| 0.527| 0.0022| 1.126| 0.0035| 24| 12|15 40 05.349|-00 17 28.95|31698814|J15400534-0017288|   25.20|   -7.20|1|SA 107-626
107 627    |13.349| 0.0055| 0.779| 0.0047| 0.226| 0.0049| 0.465| 0.0022| 0.454| 0.0027| 0.918| 0.0037| 24| 12|15 40 07.462|-00 17 22.68|31698815|J15400746-0017225|    2.70|  -10.60|1|SA 107-627
107 484    |11.311| 0.0006| 1.240| 0.0015| 1.298| 0.0038| 0.664| 0.0006| 0.577| 0.0008| 1.240| 0.0016| 26| 20|15 40 16.818|-00 21 14.93|31698829|J15401681-0021147|    2.90|  -12.70|1|SA 107-484
107 636    |14.873| 0.0134| 0.751| 0.0120| 0.121| 0.0177| 0.432| 0.0085| 0.465| 0.0417| 0.896| 0.0325|  2|  1|15 40 40.488|-00 14 53.10|31698858|J15404049-0014529|    6.30|   -4.10|1|SA 107-636
107 639    |14.197| 0.0161| 0.640| 0.0092|-0.026| 0.0202| 0.399| 0.0104| 0.404| 0.0095| 0.803| 0.0126| 10|  6|15 40 44.767|-00 17 10.24|31698867|J15404477-0017100|   -9.20|   -1.10|1|SA 107-639
107 640    |15.050| 0.0250| 0.755| 0.0103| 0.092| 0.0322| 0.511| 0.0183| 0.506| 0.0161| 1.017| 0.0246|  5|  3|15 40 49.150|-00 16 47.53|31698873|J15404915-0016474|  -14.10|    3.30|1|SA 107-640
G153 41    |13.425| 0.0015|-0.210| 0.0016|-1.129| 0.0026|-0.133| 0.0010|-0.158| 0.0023|-0.289| 0.0025| 39| 27|16 17 55.241|-15 35 52.15|26014608|J16175525-1535519| -172.20| -161.70|1|G153-41
G138 25    |13.513| 0.0007| 1.419| 0.0177| 1.265| 0.0382| 0.883| 0.0028| 0.796| 0.0028| 1.685| 0.0049|  2|  1|16 25 13.952|+15 40 54.25|37376571|J16251394+1540551|  123.30|-1207.40|1|G138-25
BD -12 4523|10.072| 0.0021| 1.566| 0.0005| 1.195| 0.0019| 1.155| 0.0005| 1.499| 0.0016| 2.651| 0.0013| 16| 13|16 30 18.059|-12 39 45.34|        |J16301808-1239434|  -95.90|-1184.90|5|BD -12 4523
HD 149382  | 8.943| 0.0008|-0.282| 0.0008|-1.143| 0.0022|-0.127| 0.0004|-0.135| 0.0007|-0.262| 0.0008| 57| 48|16 34 23.333|-04 00 52.02|30388151|J16342334-0400521|   -7.20|   -4.60|1|HD 149382
108 1332   | 9.208| 0.0005| 0.380| 0.0007| 0.083| 0.0010| 0.225| 0.0004| 0.225| 0.0003| 0.449| 0.0005| 76| 60|16 35 21.401|-00 04 05.32|31703737|J16352141-0004052|   -0.20|    7.30|1|SA 108-1332
PG1633+099 |14.396| 0.0016|-0.191| 0.0021|-0.990| 0.0031|-0.085| 0.0026|-0.114| 0.0085|-0.208| 0.0107| 20| 11|16 35 24.025|+09 47 49.90|35229497|J16352402+0947499|  -20.00|  -14.60|1|PG 1633+099
PG1633+099A|15.259| 0.0032| 0.871| 0.0042| 0.305| 0.0037| 0.506| 0.0033| 0.506| 0.0078| 1.011| 0.0099| 23| 10|16 35 25.984|+09 47 53.19|35229501|J16352598+0947531|    5.90|   -9.80|1|[L92b] PG 1633+099 A
PG1633+099G|13.749| 0.0016| 0.693| 0.0012| 0.079| 0.0044| 0.412| 0.0012| 0.389| 0.0015| 0.804| 0.0023| 15|  8|16 35 32.336|+09 50 30.74|35229514|J16353233+0950306|   11.80|  -29.70|1|[L92b] PG 1633+099 G
PG1633+099B|12.968| 0.0016| 1.081| 0.0013| 1.017| 0.0051| 0.589| 0.0010| 0.503| 0.0013| 1.090| 0.0019| 18| 10|16 35 33.304|+09 46 20.71|35229516|J16353330+0946206|    8.00|   -8.90|1|[L92b] PG 1633+099 B
PG1633+099F|13.768| 0.0020| 0.878| 0.0024| 0.254| 0.0048| 0.523| 0.0013| 0.522| 0.0022| 1.035| 0.0028| 15|  8|16 35 36.713|+09 49 40.34|35229520|J16353671+0949402|   -3.70|  -12.40|1|[L92b] PG 1633+099 F
PG1633+099C|13.224| 0.0017| 1.144| 0.0008| 1.146| 0.0022| 0.612| 0.0010| 0.524| 0.0014| 1.133| 0.0027| 17| 10|16 35 37.275|+09 46 15.80|35229521|J16353727+0946157|   -1.20|   -8.70|1|[L92b] PG 1633+099 C
PG1633+099D|13.689| 0.0016| 0.535| 0.0018|-0.021| 0.0028| 0.324| 0.0011| 0.323| 0.0018| 0.649| 0.0020| 20| 12|16 35 40.089|+09 46 41.57|35229527|J16354008+0946415|   -4.30|   -5.40|1|[L92b] PG 1633+099 D
PG1633+099E|13.113| 0.0021| 0.841| 0.0020| 0.337| 0.0037| 0.484| 0.0014| 0.471| 0.0018| 0.953| 0.0024| 16|  9|16 35 45.084|+09 49 24.53|35229536|J16354507+0949244|   -4.60|   -5.10|1|[L92b] PG 1633+099 E
108 719    |12.690| 0.0045| 1.031| 0.0025| 0.648| 0.0005| 0.553| 0.0045| 0.533| 0.0025| 1.087| 0.0050|  4|  2|16 36 11.047|-00 25 29.07|31703819|J16361104-0025290|  -15.60|   11.70|1|SA 108-719
108 1848   |11.738|       | 0.559|       | 0.073|       | 0.331|       | 0.325|       | 0.657|       |  1|  1|16 36 58.442|+00 05 55.61|31883730|J16365843+0005555|   22.10|   -8.50|1|SA 108-1848
108 475    |11.307| 0.0007| 1.380| 0.0006| 1.463| 0.0028| 0.743| 0.0004| 0.664| 0.0004| 1.408| 0.0007|113| 98|16 37 00.595|-00 34 39.17|31524738|J16370059-0034391|   -0.90|   -2.30|1|SA 108-475
108 1863   |12.244|       | 0.803|       | 0.378|       | 0.446|       | 0.398|       | 0.844|       |  1|  1|16 37 12.452|+00 02 30.58|31883761|J16371244+0002305|  -16.20|  -23.00|1|SA 108-1863
108 1491   | 9.059| 0.0006| 0.964| 0.0005| 0.616| 0.0012| 0.522| 0.0003| 0.498| 0.0004| 1.020| 0.0005| 77| 62|16 37 13.934|-00 02 41.91|31703937|J16371392-0002420|    3.50|  -18.10|1|SA 108-1491
108 551    |10.702| 0.0006| 0.180| 0.0004| 0.182| 0.0010| 0.100| 0.0004| 0.109| 0.0005| 0.209| 0.0006|144|114|16 37 47.788|-00 33 05.16|31524830|J16374779-0033051|    5.10|    5.50|1|SA 108-551
108 1918   |11.384| 0.0007| 1.432| 0.0014| 1.839|       | 0.773| 0.0042| 0.661|       | 1.434| 0.0042|  2|  1|16 37 50.129|-00 00 36.41|31704025|J16375013-0000362|   -3.00|   -9.80|1|SA 108-1918
108 981    |12.071| 0.0025| 0.494| 0.0015| 0.237| 0.0075| 0.310| 0.0020| 0.312| 0.0030| 0.622| 0.0010|  4|  2|16 39 16.614|-00 25 06.98|31704207|J16391661-0025069|   -5.90|   -0.90|1|SA 108-981
PG1647+056 |14.773| 0.0087|-0.173| 0.0087|-1.064| 0.0076|-0.058| 0.0102|-0.022| 0.0151|-0.082| 0.0163|  7|  3|16 50 18.461|+05 32 55.94|33772779|J16501846+0532559|   -0.50|  -11.90|1|PG 1647+056
Wolf 629   |11.759| 0.0042| 1.676| 0.0030| 1.256| 0.0034| 1.185| 0.0017| 1.525| 0.0013| 2.715| 0.0013|  7|  4|16 55 25.223|-08 19 21.30|28934772|J16552527-0819207| -816.90| -898.30|1|Wolf 629
PG1657+078E|14.486| 0.0020| 0.787| 0.0130| 0.284| 0.0095| 0.436| 0.0020| 0.413| 0.0105| 0.851| 0.0105|  4|  2|16 59 27.221|+07 44 01.26|34484044|J16592722+0744013|   -7.90|   13.80|2|[L92b] PG 1657+078 E
PG1657+078D|16.156|       | 0.986|       | 0.599|       | 0.635|       | 0.592|       | 1.227|       |  1|  1|16 59 27.877|+07 42 59.71|34484045|J16592788+0742597|    0.80|   -6.70|1|[L92b] PG 1657+078 D
PG1657+078B|14.724| 0.0016| 0.697| 0.0036| 0.039| 0.0041| 0.417| 0.0014| 0.420| 0.0014| 0.838| 0.0014|  8|  4|16 59 31.979|+07 42 07.34|34484057|J16593198+0742074|   -5.00|   -1.50|1|[L92b] PG 1657+078 B
PG1657+078 |15.019| 0.0036|-0.142| 0.0033|-0.958| 0.0042|-0.079| 0.0058|-0.058| 0.0243|-0.128| 0.0299| 17|  8|16 59 32.216|+07 43 31.43|34484060|J16593222+0743314|   -9.70|  -17.90|1|PG 1657+078
PG1657+078A|14.032| 0.0007| 1.068| 0.0007| 0.735| 0.0054| 0.569| 0.0026| 0.538| 0.0005| 1.105| 0.0027| 10|  5|16 59 33.207|+07 42 19.42|34484063|J16593321+0742195|    5.60|   17.70|1|[L92b] PG 1657+078 A
PG1657+078C|15.225| 0.0019| 0.837| 0.0020| 0.382| 0.0082| 0.504| 0.0044| 0.442| 0.0120| 0.965| 0.0070|  5|  2|16 59 35.270|+07 42 26.51|34484068|J16593527+0742266|  -11.00|   -3.80|1|[L92b] PG 1657+078 C
BD -4 4226 |10.071| 0.0033| 1.415| 0.0012| 1.085| 0.0029| 0.970| 0.0004| 1.141| 0.0008| 2.113| 0.0012|  6|  3|17 05 13.783|-05 05 39.21|30040735|J17051383-0505385| -915.30|-1130.40|1|BD -4 4226
109 71     |11.490| 0.0007| 0.326| 0.0006| 0.154| 0.0014| 0.187| 0.0006| 0.223| 0.0007| 0.409| 0.0009| 65| 56|17 44 06.792|-00 24 58.01|31714623|J17440678-0024580|   -0.60|   -1.90|1|SA 109-71
109 381    |11.731| 0.0008| 0.704| 0.0010| 0.222| 0.0012| 0.427| 0.0004| 0.435| 0.0006| 0.862| 0.0008| 70| 57|17 44 12.269|-00 20 32.80|31714649|J17441226-0020328|   -1.80|    4.40|1|SA 109-381
109 949    |12.828| 0.0064| 0.806| 0.0007| 0.363| 0.0099| 0.500| 0.0078| 0.517| 0.0035| 1.020| 0.0113|  2|  1|17 44 13.616|-00 02 28.02|31714655|J17441362-0002281|    6.10|   -5.60|1|SA 109-949
109 954    |12.436| 0.0093| 1.296| 0.0060| 0.956| 0.0203| 0.764| 0.0017| 0.731| 0.0027| 1.496| 0.0033|  9|  5|17 44 15.844|-00 02 16.07|31714667|J17441583-0002160|    0.60|    1.50|1|SA 109-954
109 956    |14.639| 0.0113| 1.283| 0.0198| 0.858| 0.0035| 0.779| 0.0184| 0.743| 0.0156| 1.525| 0.0346|  2|  1|17 44 14.540|-00 02 07.70|        |J17441454-0002076|    0.00|    0.00|2|SA 109-956
109 199    |10.990| 0.0098| 1.739| 0.0040| 1.967| 0.0035| 1.006| 0.0035| 0.900| 0.0040| 1.904| 0.0046|  3|  2|17 45 02.635|-00 29 28.71|31714849|J17450263-0029286|    3.20|   -0.70|1|SA 109-199
109 231    | 9.333| 0.0008| 1.465| 0.0008| 1.591| 0.0023| 0.787| 0.0004| 0.705| 0.0005| 1.494| 0.0006| 90| 65|17 45 19.964|-00 25 51.60|31714908|J17451996-0025515|    1.90|  -14.30|1|SA 109-231
109 537    |10.353| 0.0022| 0.609| 0.0010| 0.226| 0.0017| 0.376| 0.0008| 0.393| 0.0008| 0.769| 0.0013| 76| 55|17 45 42.448|-00 21 35.43|31714993|J17454245-0021355|    0.80|   -1.20|1|SA 109-537
G21 15     |13.889| 0.0046| 0.092| 0.0053|-0.598| 0.0067|-0.039| 0.0046|-0.030| 0.0094|-0.069| 0.0094| 19|  9|18 27 13.080|+04 03 46.70|        |J18271307+0403467| -251.00| -289.00|4|G21-15
110 229    |13.649| 0.0031| 1.910| 0.0091| 1.391| 0.0225| 1.198| 0.0018| 1.155| 0.0020| 2.356| 0.0026| 30| 16|18 40 45.662|+00 01 49.78|31906889|J18404566+0001496|   -3.00|   -1.40|1|SA 110-229
110 230    |14.281| 0.0031| 1.084| 0.0050| 0.728| 0.0116| 0.624| 0.0020| 0.596| 0.0044| 1.218| 0.0050| 21| 11|18 40 51.489|+00 02 23.28|31906894|J18405149+0002232|   21.00|    3.00|1|SA 110-230
110 232    |12.516| 0.0032| 0.729| 0.0028| 0.147| 0.0045| 0.439| 0.0015| 0.450| 0.0019| 0.889| 0.0025| 28| 16|18 40 52.340|+00 01 54.78|31906895|J18405233+0001547|  -11.00|  -26.10|1|SA 110-232
110 233    |12.771| 0.0028| 1.281| 0.0034| 0.812| 0.0070| 0.773| 0.0021| 0.818| 0.0015| 1.593| 0.0021| 22| 10|18 40 52.709|+00 00 50.85|31906896|J18405270+0000508|   -4.10|    3.50|1|SA 110-233
110 239    |13.858|       | 0.899|       | 0.584|       | 0.541|       | 0.517|       | 1.060|       |  1|  1|18 41 19.795|+00 00 13.58|31906923|J18411980+0000133|    7.70|   -5.30|1|SA 110-239
110 339    |13.607|       | 0.988|       | 0.776|       | 0.563|       | 0.468|       | 1.036|       |  1|  1|18 41 26.510|+00 08 25.40|        |J18412651+0008253|  -62.00|  -10.00|2|SA 110-339
